"Codigo_Cliente","Fecha","Monto_Moneda_Local","Monto_Moneda_Extranjera","Mes","Year","Codigo_de_Producto","Cuotas_Pagadas","Cuotas_Devengadas","Cuontas_Restantes","Aclaracion"
"47978","9/5/2021",37.1,5.33045977,9,2021,150003,2,3,355,
"10076","9/21/2021",37.1,5.33045977,9,2021,150003,18,240,102,
"99841","9/1/2021",37.1,5.33045977,9,2021,150003,27,33,300,
"12112","9/25/2021",37.1,5.33045977,9,2021,150003,15,215,130,
"98512","9/27/2021",37.1,5.33045977,9,2021,150003,13,200,147,
"16348","9/25/2021",37.1,5.33045977,9,2021,150003,83,113,164,
"8772","9/6/2021",37.1,5.33045977,9,2021,150003,57,269,34,
"6896","9/6/2021",37.1,5.33045977,9,2021,150003,46,280,34,
"204","9/24/1964",37.1,5.33045977,9,1964,150003,372,145,-157,
"23999","9/1/2021",37.1,5.33045977,9,2021,150003,49,101,210,
"24720","9/18/2021",37.1,5.33045977,9,2021,150003,19,132,209,PLAN DE REGULARIZACION B
"15816","9/10/2021",37.1,5.33045977,9,2021,150003,69,136,155,
"46992","9/11/2021",37.1,5.33045977,9,2021,150003,15,6,339,
"14948","9/11/2021",37.1,5.33045977,9,2021,150003,146,59,155,
"98626","9/11/2021",37.1,5.33045977,9,2021,150003,2,203,155,
"3083","9/21/2011",37.1,5.33045977,9,2011,150003,92,268,0,
"11727","8/31/2021",37.1,5.33045977,8,2021,150003,152,102,106,
"13123","9/7/2021",37.1,5.33045977,9,2021,150003,137,34,189,PLAN DE REGULARIZACION C
"39256","9/22/2021",37.1,5.33045977,9,2021,150003,1,40,319,PLAN DE REGULARIZACION A
"16917","9/10/2021",37.1,5.33045977,9,2021,150003,32,176,152,
"14756","9/11/2021",37.1,5.33045977,9,2021,150003,0,206,154,
"47838","9/14/2021",37.1,5.33045977,9,2021,150003,3,3,354,
"38075","9/3/2021",37.1,5.33045977,9,2021,150003,45,27,288,
"3687","9/25/2010",37.1,5.33045977,9,2010,150003,0,360,0,
"15230","9/10/2021",37.1,5.33045977,9,2021,150003,5,203,152,
"96557","9/17/2021",37.1,5.33045977,9,2021,150003,231,28,101,
"7911","9/10/2021",37.1,5.33045977,9,2021,150003,254,27,79,
"12010","9/16/2021",37.1,5.33045977,9,2021,150003,158,72,130,
"42675","9/4/2021",37.1,5.33045977,9,2021,150003,24,10,326,
"13405","9/14/2021",37.1,5.33045977,9,2021,150003,195,22,143,
"29053","9/25/2021",37.1,5.33045977,9,2021,150003,13,84,263,
"38175","9/11/2021",37.1,5.33045977,9,2021,150003,3,45,312,
"100033","9/29/2021",37.1,5.33045977,9,2021,150003,5,9,346,PLAN DE REGULARIZACION A
"2793","9/16/2010",37.1,5.33045977,9,2010,150003,84,276,0,
"6886","9/17/2021",37.1,5.33045977,9,2021,150003,12,311,37,
"19981","9/6/2021",37.1,5.33045977,9,2021,150003,52,119,189,
"40877","9/11/2021",37.1,5.33045977,9,2021,150003,37,11,312,
"37451","9/3/2021",37.1,5.33045977,9,2021,150003,12,183,165,
"47064","9/28/2021",37.1,5.33045977,9,2021,150003,6,6,348,
"11438","9/28/2021",37.1,5.33045977,9,2021,150003,0,235,125,
"48551","11/17/2021",37.1,5.33045977,11,2021,150003,6,1,353,
"24073","9/24/2021",37.1,5.33045977,9,2021,150003,23,108,175,
"41456","9/5/2021",37.1,5.33045977,9,2021,150003,3,31,326,
"14673","9/7/2021",37.1,5.33045977,9,2021,150003,4,236,120,
"27812","9/20/2021",37.1,5.33045977,9,2021,150003,21,84,255,
"36475","9/11/2021",37.1,5.33045977,9,2021,150003,10,46,304,
"46338","9/5/2021",37.1,5.33045977,9,2021,150003,8,8,344,
"36818","9/3/2021",37.1,5.33045977,9,2021,150003,52,18,290,
"17650","9/22/2021",37.1,5.33045977,9,2021,150003,22,162,176,
"23485","9/17/2021",37.1,5.33045977,9,2021,150003,43,130,187,
"18066","9/22/2021",37.1,5.33045977,9,2021,150003,133,137,90,
"12363","9/4/2021",37.1,5.33045977,9,2021,150003,143,83,134,
"17850","11/30/2021",37.1,5.33045977,11,2021,150003,182,2,176,
"47860","9/16/2021",37.1,5.33045977,9,2021,150003,10,3,347,
"24077","9/27/2021",37.1,5.33045977,9,2021,150003,0,126,234,
"38666","9/20/2021",37.1,5.33045977,9,2021,150003,29,20,311,
"24224","9/13/2021",37.1,5.33045977,9,2021,150003,9,123,228,
"35378","9/10/2021",37.1,5.33045977,9,2021,150003,37,22,301,
"100146","9/13/2021",37.1,5.33045977,9,2021,150003,22,8,330,
"46511","9/3/2021",37.1,5.33045977,9,2021,150003,2,8,350,
"17298","9/9/2021",37.1,5.33045977,9,2021,150003,25,167,168,
"13047","9/27/2021",37.1,5.33045977,9,2021,150003,204,34,122,
"34489","9/19/2021",37.1,5.33045977,9,2021,150003,1,63,296,
"22144","9/25/2021",37.1,5.33045977,9,2021,150003,63,80,217,PLAN DE REGULARIZACION C
"42299","9/6/2021",37.1,5.33045977,9,2021,150003,12,46,302,PLAN DE REGULARIZACION B
